Дата,Adj Close,Date
2017-11-14,1136.86,14.11.2017
2017-11-13,1148.79,13.11.2017
2017-10-11,1156.74,10.11.2017
2017-09-11,1161.38,09.11.2017
2017-08-11,1150.36,08.11.2017
2017-07-11,1146.98,07.11.2017
2017-03-11,1109.38,03.11.2017
2017-02-11,1118.66,02.11.2017
2017-01-11,1126.43,01.11.2017
2017-10-31,1113.41,31.10.2017
2017-10-30,1124.05,30.10.2017
2017-10-27,1118.62,27.10.2017
2017-10-26,1118.19,26.10.2017
2017-10-25,1118.13,25.10.2017
2017-10-24,1127.03,24.10.2017
2017-10-23,1131.08,23.10.2017
2017-10-20,1134.45,20.10.2017
2017-10-19,1138.64,19.10.2017
2017-10-18,1147.79,18.10.2017
2017-10-17,1146.62,17.10.2017
2017-10-16,1158.24,16.10.2017
2017-10-13,1156.64,13.10.2017
2017-12-10,1143.96,12.10.2017
2017-11-10,1143.32,11.10.2017
2017-10-10,1134.86,10.10.2017
2017-09-10,1132.45,09.10.2017
2017-06-10,1134.3,06.10.2017
2017-05-10,1144.05,05.10.2017
2017-04-10,1137.14,04.10.2017
2017-03-10,1129.9,03.10.2017
2017-02-10,1128.69,02.10.2017
2017-09-29,1136.75,29.09.2017
2017-09-28,1125.56,28.09.2017
2017-09-27,1126.94,27.09.2017
2017-09-26,1127.26,26.09.2017
2017-09-25,1130.54,25.09.2017
